#{"t_start": 1705046947.592046, "env_id": "match3-wide-v0"}
r,l,t
-100,25,1.297532
0,29,1.673567
50,25,1.969776
150,29,2.352751
0,38,6.634308
200,36,7.148932
-150,30,7.533904
200,55,11.864361
0,28,12.252938
0,34,12.667414
-50,29,13.072332
-300,37,17.232325
50,23,17.513573
-100,26,17.865632
0,32,18.288502
0,40,22.545457
50,31,22.979297
-200,27,23.350306
-150,23,23.646514
-50,42,24.193054
-50,27,28.207323
-50,30,28.626203
-100,24,28.941438
-300,27,29.342366
-150,27,33.396532
-50,66,34.249253
-50,40,34.779833
-100,30,38.766179
-250,35,39.246893
-150,26,39.616905
-150,29,39.949018
200,32,44.635217
-100,22,44.9396
-200,32,45.37505
-350,38,45.906852
0,33,50.385435
-150,31,50.826257
-150,35,51.346865
100,28,51.742806
-200,34,56.148519
0,25,56.480631
-200,36,56.975799
-150,39,57.520602
-300,24,61.617752
-100,30,62.027761
-150,27,62.400763
-100,36,62.916384
-50,24,63.203617
-150,38,67.622711
50,44,68.180145
-100,49,68.7955
-250,41,73.115586
-200,38,73.65332
-50,35,74.131707
-300,44,78.454102
0,35,78.878967
-550,26,79.236011
-200,43,79.804188
-250,28,83.806811
-300,44,84.40222
-200,38,84.860992
-50,34,89.192534
-200,34,89.625
-450,29,90.022935
0,51,94.476924
-100,40,95.02354
-100,30,95.417486
-200,29,95.821406
-450,33,100.125345
-200,39,100.630038
-50,38,101.152818
-150,28,101.569016
-150,51,106.31574
-300,38,106.834867
0,31,107.23157
-100,29,112.060405
-200,25,112.380551
-200,28,112.759569
0,40,113.276217
0,26,113.672769
-200,38,117.795076
-200,28,118.155114
-150,26,118.514154
-100,45,122.829594
-200,48,123.509111
-300,43,124.069071
-300,31,124.526524
-250,48,129.112576
-50,63,129.998595
-50,94,135.126074
-250,44,135.644866
-300,36,139.799543
-300,46,140.408915
-400,26,140.720195
-300,39,145.130505
-50,35,145.643494
-250,56,146.330874
-350,99,151.453341
-150,43,151.986021
-100,54,156.542587
-100,43,157.057735
-300,33,157.472883
-200,82,162.424663
-50,51,163.059874
-100,48,167.512552
-400,56,168.184382
-200,51,172.681166
-200,39,173.173054
-200,85,178.146103
-150,45,178.667958
-200,32,179.033288
-100,37,183.325995
-300,46,183.886132
-150,49,184.49174
-100,68,189.13923
-300,70,190.009404
-100,46,194.406263
-200,115,199.620438
0,34,200.031169
-100,44,200.54742
0,51,204.943384
-250,85,206.000585
-100,81,210.767206
-300,317,222.271237
-200,70,227.153621
-250,189,233.207749
-200,1055,278.677931
0,109,279.753743
-150,343,295.039873
-250,193,304.747684
150,847,336.255194
-200,731,367.018895
-150,42,367.487598
-350,69,371.989923
-150,420,387.703108
-150,165,393.185783
-150,109,398.091168
-250,78,402.755373
0,813,434.205364
-350,132,439.328437
-300,117,444.387707
0,1155,489.823209
-150,959,529.724491
-50,821,560.823543
-200,787,591.762392
-100,557,616.925555
-150,455,632.952439
-150,228,643.197948
-50,123,648.586581
-250,41,648.998294
-100,862,685.197837
-250,330,700.358907
-150,169,705.954518
-150,124,711.23849
-350,1128,757.889833
100,303,768.697946
-100,1155,815.012624
-100,214,824.859566
-100,133,830.046763
-50,1155,875.862762
-150,51,876.382964
150,61,880.738274
100,190,886.510437
-50,135,891.713913
-100,197,901.22674
-50,1155,946.179134
-100,248,956.183283
200,96,957.124226
100,171,966.384384
-100,66,967.027861
50,392,982.339337
-250,481,1002.195314
100,55,1006.546043
200,79,1007.27958
250,121,1012.340903
-50,82,1016.901387
-250,79,1017.694707
300,283,1031.951589
-200,221,1037.961042
250,691,1067.700954
-150,103,1072.510893
-50,130,1077.623163
50,642,1103.058099
0,187,1108.679162
-100,467,1128.5023
-200,105,1129.555082
-50,797,1164.231909
-100,1155,1210.253164
0,1155,1256.196227
-200,290,1266.624717
0,507,1286.56183
0,278,1296.82834
100,1155,1341.912971
-100,770,1372.029522
100,1155,1417.401454
200,655,1443.258127
150,839,1478.43453
200,1108,1524.460297
250,92,1525.482565
100,91,1530.294703
100,110,1535.354803
50,127,1540.598099
-50,52,1541.154991
0,121,1546.452821
200,423,1562.047978
200,33,1566.230622
250,146,1571.467303
100,630,1596.777828
150,47,1597.27682
250,78,1602.007546
250,82,1602.830419
200,485,1623.106392
50,357,1638.024113
